Timestamp,Temperature,Pressure,Proximity,R,B,G,A,xAcc,yAcc,zAcc
1693928033,31.78,98.81,252.0,238.0,138.0,142.0,381.0,0.17,0.04,0.97
1693928036,31.8,98.81,252.0,237.0,137.0,141.0,379.0,0.17,0.03,0.97
1693928039,31.81,98.81,250.0,236.0,135.0,139.0,377.0,0.17,0.03,0.97
1693928042,31.84,98.81,249.0,239.0,138.0,142.0,382.0,0.17,0.03,0.98
1693928045,31.82,98.81,250.0,236.0,137.0,141.0,379.0,0.17,0.03,0.97
1693928048,31.83,98.8,252.0,236.0,135.0,139.0,375.0,0.17,0.03,0.97
1693928051,31.87,98.81,248.0,233.0,135.0,138.0,372.0,0.17,0.03,0.97
1693928054,31.86,98.81,249.0,232.0,134.0,137.0,369.0,0.17,0.02,0.97
Timestamp,Temperature,Pressure,Proximity,R,B,G,A,xAcc,yAcc,zAcc
1693928204,32.34,98.81,251.0,225.0,128.0,131.0,357.0,0.21,-0.05,0.96
1693928207,32.37,98.82,251.0,224.0,128.0,131.0,355.0,0.21,-0.06,0.96
1693928210,32.38,98.82,249.0,221.0,125.0,127.0,352.0,0.12,-0.22,1.0
1693928213,32.37,98.81,249.0,268.0,169.0,164.0,472.0,0.61,-0.3,0.7
1693928216,32.36,98.81,247.0,275.0,161.0,163.0,461.0,0.39,-0.04,0.91
1693928219,32.36,98.81,250.0,270.0,157.0,158.0,447.0,0.36,0.06,0.81
1693928222,32.36,98.79,251.0,220.0,125.0,127.0,351.0,0.21,0.01,0.96
1693928225,32.33,98.82,251.0,215.0,122.0,127.0,339.0,0.21,0.01,0.96
1693928228,32.31,98.82,253.0,218.0,124.0,129.0,346.0,0.21,0.01,0.96
1693928231,32.34,98.82,252.0,216.0,122.0,127.0,340.0,0.21,0.01,0.96
1693928234,32.32,98.82,249.0,220.0,124.0,130.0,347.0,0.21,0.01,0.96
1693928238,32.33,98.82,251.0,218.0,124.0,129.0,345.0,0.21,0.01,0.96
1693928241,32.32,98.82,248.0,221.0,125.0,131.0,348.0,0.21,0.01,0.96
Timestamp,Temperature,Pressure,Proximity,R,B,G,A,xAcc,yAcc,zAcc
1696345884,99.23,35.74,253.0,-1.0,426.0,354.0,467.0,1328.0,-0.0,-0.01,0.99,24.6,35.35,-28.6,-0.31,0.61,-0.73
